tavg,prcp,snow,year,month,day,hour,wind,wind_flag
16.2,1,0,2020,4,26,0,20.700000000000003,0
16.4,1,0,2020,4,27,0,21.7,0
16.9,1,0,2020,4,28,0,34.75,1
16.9,1,0,2020,4,29,0,34.85,1
18.8,1,0,2020,4,30,0,38.15,1
20.2,1,0,2020,5,1,0,41.849999999999994,1
19.3,1,0,2020,5,2,0,20.05,0
19.1,1,0,2020,5,3,0,18.85,0
19.3,1,0,2020,5,4,0,20.2,0
19.4,1,0,2020,5,5,0,19.4,0
20.3,1,0,2020,5,6,0,19.25,0
19.8,1,0,2020,5,7,0,24.45,0
19.8,1,0,2020,5,8,0,25.0,0
18.7,1,0,2020,5,9,0,27.7,0
17.8,1,0,2020,5,10,0,28.549999999999997,0
18.7,1,0,2020,5,11,0,46.0,1
17.4,1,0,2020,5,12,0,32.7,1
18.6,1,0,2020,5,13,0,33.0,1
16.5,1,0,2020,5,14,0,24.95,0
17.3,1,0,2020,5,15,0,19.2,0
17.7,1,0,2020,5,16,0,20.9,0
18.2,1,0,2020,5,17,0,24.799999999999997,0
18.8,1,0,2020,5,18,0,20.7,0
20.6,1,0,2020,5,19,0,22.35,0
20.5,1,0,2020,5,20,0,19.35,0
22.2,1,0,2020,5,21,0,24.900000000000002,0
21.4,1,0,2020,5,22,0,19.6,0
21.3,1,0,2020,5,23,0,23.25,0
20.3,1,0,2020,5,24,0,21.4,0
20.8,1,0,2020,5,25,0,21.25,0
21.7,1,0,2020,5,26,0,22.65,0
21.4,1,0,2020,5,27,0,27.3,0
20.6,1,0,2020,5,28,0,20.2,0
20.3,1,0,2020,5,29,0,27.25,0
20.3,1,0,2020,5,30,0,19.1,0
20.6,1,0,2020,5,31,0,21.0,0
21.3,1,0,2020,6,1,0,17.9,0
20.6,1,0,2020,6,2,0,20.3,0
21.4,1,0,2020,6,3,0,25.1,0
19.3,1,0,2020,6,4,0,26.25,0
19.6,1,0,2020,6,5,0,27.75,0
20.6,1,0,2020,6,6,0,20.0,0
19.8,1,0,2020,6,7,0,21.3,0
17.7,1,0,2020,6,8,0,23.5,0
17.3,1,0,2020,6,9,0,19.549999999999997,0
18.2,1,0,2020,6,10,0,21.1,0
20.1,1,0,2020,6,11,0,19.55,0
21.9,1,0,2020,6,12,0,33.150000000000006,1
21.2,1,0,2020,6,13,0,32.8,1
20.8,1,0,2020,6,14,0,25.650000000000002,0
21.3,1,0,2020,6,15,0,23.15,0
20.4,1,0,2020,6,16,0,19.75,0
20.0,1,0,2020,6,17,0,22.1,0
19.3,1,0,2020,6,18,0,22.05,0
20.2,1,0,2020,6,19,0,18.75,0
21.6,1,0,2020,6,20,0,23.4,0
22.6,1,0,2020,6,21,0,22.1,0
23.1,1,0,2020,6,22,0,18.25,0
